Año,mes,Toneladas,precio_promedio,precio_lag1,fecha,fecha_merge,ipc_alimentos,indice,precio_real
2019,Enero,21718.8500153,772.6802062988281,,2019-01-01,2019-01-01,2.07,100.0,772.6802062988281
2019,Febrero,17933.9000058,798.4447784423828,772.6802062988281,2019-02-01,2019-02-01,2.29,100.18885920210916,796.9396845129205
2019,Marzo,20840.3999991,871.4064737955729,798.4447784423828,2019-03-01,2019-03-01,3.24,100.45543328711344,867.4557913706776
2019,Abril,17516.3000004,1136.4999389648438,871.4064737955729,2019-04-01,2019-04-01,3.45,100.73977405381207,1128.154147296142
2019,Mayo,23682.0499766,1056.201806640625,1136.4999389648438,2019-05-01,2019-05-01,4.03,101.07199909559327,1044.9994222847772
2019,Junio,21918.9000081,1109.6309051513672,1056.201806640625,2019-06-01,2019-06-01,4.96,101.4805566610446,1093.4418785833502
2019,Julio,25005.6999377,995.9086303710938,1109.6309051513672,2019-07-01,2019-07-01,6.57,102.02010229221949,976.188621648781
2019,Agosto,28274.5999626,843.3704962226562,995.9086303710938,2019-08-01,2019-08-01,6.42,102.55047883193912,822.3954737498411
2019,Septiembre,24041.69997418,809.0946502685547,843.3704962226562,2019-09-01,2019-09-01,6.49,103.08926141322993,784.848624557824
2019,Octubre,25030.5000067,855.9904632568359,809.0946502685547,2019-10-01,2019-10-01,6.87,103.66164083486154,825.7543063788406
2019,Noviembre,25732.0499813,813.222216796875,855.9904632568359,2019-11-01,2019-11-01,6.42,104.20055131556438,780.4394569219563
2019,Diciembre,21755.9499792,619.2781219482422,813.222216796875,2019-12-01,2019-12-01,5.8,104.69127503041503,591.5279203241423
2020,Enero,22191.9500039,630.8554840087891,619.2781219482422,2020-01-01,2020-01-01,5.13,105.12863958176375,600.0795658714308
2020,Febrero,20583.2000127,604.4753295898438,630.8554840087891,2020-02-01,2020-02-01,5.87,105.62955589967851,572.2596525577966
2020,Marzo,21349.44998442,787.8590698242188,604.4753295898438,2020-03-01,2020-03-01,7.19,106.2425069065079,741.566716340311
2020,Abril,18575.600002,758.4833679199219,787.8590698242188,2020-04-01,2020-04-01,8.23,106.94503197591146,709.2273048183896
2020,Mayo,16394.6999965,989.17255859375,758.4833679199219,2020-05-01,2020-05-01,7.57,107.59734259131973,919.3280565960279
2020,Junio,18366.1499875,1081.9687957763672,989.17255859375,2020-06-01,2020-06-01,6.55,108.16771775103636,1000.2695982424948
2020,Julio,21811.5499938,896.6017150878906,1081.9687957763672,2020-07-01,2020-07-01,5.0,108.60840642254882,825.5362035233231
2020,Agosto,18928.7999778,725.537939453125,896.6017150878906,2020-08-01,2020-08-01,4.66,109.0214203203625,665.5003551789285
2020,Septiembre,21434.0499693,646.5885467529297,725.537939453125,2020-09-01,2020-09-01,4.13,109.38971513465764,591.0871474132515
2020,Octubre,20547.6499954,534.29990234375,646.5885467529297,2020-10-01,2020-10-01,3.54,109.70729443446494,487.0231328719175
2020,Noviembre,20764.0500143,483.9154586791992,534.29990234375,2020-11-01,2020-11-01,4.09,110.07438190631066,439.6258696152223
2020,Diciembre,19572.0500169,479.8976287841797,483.9154586791992,2020-12-01,2020-12-01,4.8,110.50527992164702,434.275746031726
2021,Enero,15497.4499773,616.3035888671875,479.8976287841797,2021-01-01,2021-01-01,5.51,111.00030299683132,555.2269428352649
2021,Febrero,19432.5500142,814.5052032470703,616.3035888671875,2021-02-01,2021-02-01,5.02,111.45430090464656,730.7974628488414
2021,Marzo,22557.7000204,1198.7131652832031,814.5052032470703,2021-03-01,2021-03-01,3.92,111.81200285930657,1072.0791459138318
2021,Abril,20298.599979,1197.8577270507812,1198.7131652832031,2021-04-01,2021-04-01,3.98,112.17624837762126,1067.835432522585
2021,Mayo,21566.5999493,1295.604024251302,1197.8577270507812,2021-05-01,2021-05-01,9.52,113.0295584326018,1146.2523982378073
2021,Junio,24077.1000242,831.8810424804688,1295.604024251302,2021-06-01,2021-06-01,8.52,113.80233675685872,730.9876635115161
2021,Julio,24269.149964,842.6524780273437,831.8810424804688,2021-07-01,2021-07-01,9.81,114.69328822453704,734.7007754958322
2021,Agosto,22765.3499796,679.4407653808594,842.6524780273437,2021-08-01,2021-08-01,11.5,115.73842719340794,587.0485558313842
2021,Septiembre,24679.399983,772.7275085449219,679.4407653808594,2021-09-01,2021-09-01,12.4,116.87136118444029,661.1778118383028
2021,Octubre,26982.3999909,899.1229248046875,772.7275085449219,2021-10-01,2021-10-01,13.76,118.13372567244329,761.1060429074602
2021,Noviembre,26874.5000169,1070.8812408447266,899.1229248046875,2021-11-01,2021-11-01,15.34,119.54705900550168,895.7821712664999
2021,Diciembre,27383.0499934,1491.8671875,1070.8812408447266,2021-12-01,2021-12-01,17.23,121.14127126203269,1231.5102623226073
2022,Enero,22208.650012,2084.7070068359376,1491.8671875,2022-01-01,2022-01-01,19.94,122.99075397757106,1695.0111609333746
2022,Febrero,21877.0500149,2577.6156005859375,2084.7070068359376,2022-02-01,2022-02-01,23.3,125.15630134895038,2059.517237889001
2022,Marzo,22855.450008,2431.2433471679688,2577.6156005859375,2022-03-01,2022-03-01,25.37,127.53680189245298,1906.3072862828608
2022,Abril,22601.099988,2104.3329833984376,2431.2433471679688,2022-04-01,2022-04-01,26.17,130.03148759623917,1618.325701181396
2022,Mayo,27605.4000334,1078.2254486083984,2104.3329833984376,2022-05-01,2022-05-01,21.6,132.16800326975638,815.7991510303201
2022,Junio,29389.5500021,927.2468872070312,1078.2254486083984,2022-06-01,2022-06-01,23.65,134.52691170223582,689.2649771514976
2022,Julio,29689.9000239,852.892822265625,927.2468872070312,2022-07-01,2022-07-01,24.61,137.0161984266855,622.4759058119614
2022,Agosto,28434.0000079,785.1242065429688,852.892822265625,2022-08-01,2022-08-01,25.57,139.64082464097402,562.2454669410439
2022,Septiembre,28845.9500242,938.0168151855469,785.1242065429688,2022-09-01,2022-09-01,26.62,142.41451787134554,658.6525230755848
2022,Octubre,28159.2500154,1282.64501953125,938.0168151855469,2022-10-01,2022-10-01,27.02,145.28148587877266,882.8688747040544
2022,Noviembre,29102.249982,1632.2319030761719,1282.64501953125,2022-11-01,2022-11-01,27.08,148.21200195605675,1101.2818675508552
2022,Diciembre,31985.79999602,1776.8600463867188,1632.2319030761719,2022-12-01,2022-12-01,27.81,151.2738208582491,1174.598510373928
2023,Enero,26748.6999664,1890.910791015625,1776.8600463867188,2023-01-01,2023-01-01,26.18,154.23383355745446,1226.0025880192052
2023,Febrero,27391.0499532,1606.603515625,1890.910791015625,2023-02-01,2023-02-01,24.14,157.03831682535153,1023.0646558774358
2023,Marzo,29632.6500286,1420.7467041015625,1606.603515625,2023-03-01,2023-03-01,21.81,159.6415283868909,889.9606001380706
2023,Abril,23981.749975400002,1190.0830078125,1420.7467041015625,2023-04-01,2023-04-01,18.47,161.91232509185286,735.0169340952679
2023,Mayo,25406.9999994,1399.0231323242188,1190.0830078125,2023-05-01,2023-05-01,15.66,163.88725269319076,853.6497557520811
2023,Junio,28336.44996722,1107.4383544921875,1399.0231323242188,2023-06-01,2023-06-01,14.31,165.7240457909395,668.2424081591747
2023,Julio,25782.4000338,925.6201171875,1107.4383544921875,2023-07-01,2023-07-01,13.24,167.45014020138566,552.7735695379491
2023,Agosto,26836.050017,1095.0416564941406,925.6201171875,2023-08-01,2023-08-01,12.44,169.0942806746538,647.5923680713116
