Año,mes,fecha,precio_promedio,precio_predicho_m3
2019,Marzo,2019-03-01,871.4064737955729,866.7338700788803
2019,Abril,2019-04-01,1136.4999389648438,958.2284396985306
2019,Mayo,2019-05-01,1056.201806640625,1116.5398282277142
2019,Junio,2019-06-01,1109.6309051513672,1068.1188670087708
2019,Julio,2019-07-01,995.9086303710938,1086.9569870846647
2019,Agosto,2019-08-01,843.3704962226562,951.8316176687455
2019,Septiembre,2019-09-01,809.0946502685547,862.2677664746413
2019,Octubre,2019-10-01,855.9904632568359,820.712922686558
2019,Noviembre,2019-11-01,813.222216796875,844.7649667264582
2019,Diciembre,2019-12-01,619.2781219482422,840.197938717568
2020,Enero,2020-01-01,630.8554840087891,725.3261728153041
2020,Febrero,2020-02-01,604.4753295898438,751.2398173030246
2020,Marzo,2020-03-01,787.8590698242188,724.8384906477488
2020,Abril,2020-04-01,758.4833679199219,908.9763909280601
2020,Mayo,2020-05-01,989.17255859375,897.0376153962222
2020,Junio,2020-06-01,1081.9687957763672,1058.7049144725172
2020,Julio,2020-07-01,896.6017150878906,1085.949219138288
2020,Agosto,2020-08-01,725.537939453125,952.2796500361198
2020,Septiembre,2020-09-01,646.5885467529297,774.270678924669
2020,Octubre,2020-10-01,534.29990234375,707.9187776745666
2020,Noviembre,2020-11-01,483.9154586791992,609.8601525424178
2020,Diciembre,2020-12-01,479.8976287841797,579.265108773414
2021,Enero,2021-01-01,616.3035888671875,679.221554244206
2021,Febrero,2021-02-01,814.5052032470703,745.1338951855769
2021,Marzo,2021-03-01,1198.7131652832031,867.183500322469
2021,Abril,2021-04-01,1197.8577270507812,1208.2398419322672
2021,Mayo,2021-05-01,1295.604024251302,1226.1875667440936
2021,Junio,2021-06-01,831.8810424804688,1270.8035223991183
2021,Julio,2021-07-01,842.6524780273437,882.7045357531019
2021,Agosto,2021-08-01,679.4407653808594,913.1800908492642
2021,Septiembre,2021-09-01,772.7275085449219,757.313063199196
2021,Octubre,2021-10-01,899.1229248046875,815.9849757388236
2021,Noviembre,2021-11-01,1070.8812408447266,928.581254143149
2021,Diciembre,2021-12-01,1491.8671875,1075.039081643713
2022,Enero,2022-01-01,2084.7070068359376,1556.533932141391
2022,Febrero,2022-02-01,2577.6156005859375,2075.059113960924
2022,Marzo,2022-03-01,2431.2433471679688,2487.67606097045
2022,Abril,2022-04-01,2104.3329833984376,2367.461516641167
2022,Mayo,2022-05-01,1078.2254486083984,2006.145712970079
2022,Junio,2022-06-01,927.2468872070312,1134.4122816320191
2022,Julio,2022-07-01,852.892822265625,1005.7197364694825
2022,Agosto,2022-08-01,785.1242065429688,957.3045521516482
2022,Septiembre,2022-09-01,938.0168151855469,897.965525911444
2022,Octubre,2022-10-01,1282.64501953125,1030.8975528949281
2022,Noviembre,2022-11-01,1632.2319030761719,1305.96556981137
2022,Diciembre,2022-12-01,1776.8600463867188,1569.8085584578082
2023,Enero,2023-01-01,1890.910791015625,1790.9671496747408
2023,Febrero,2023-02-01,1606.603515625,1861.4705933940913
2023,Marzo,2023-03-01,1420.7467041015625,1579.07291849104
2023,Abril,2023-04-01,1190.0830078125,1453.3634456641316
2023,Mayo,2023-05-01,1399.0231323242188,1221.184450271047
2023,Junio,2023-06-01,1107.4383544921875,1352.5944049444608
2023,Julio,2023-07-01,925.6201171875,1121.4904046191189
2023,Agosto,2023-08-01,1095.0416564941406,947.4961958900507
2023,Septiembre,2023-09-01,1230.1700744628906,1104.890418701124
2023,Octubre,2023-10-01,1636.3641357421875,1179.6536184995243
2023,Noviembre,2023-11-01,1631.4696044921875,1488.2181266417501
2023,Diciembre,2023-12-01,1495.5137939453125,1448.3136603765242
2024,Enero,2024-01-01,1479.1990966796875,1391.210668177133
2024,Febrero,2024-02-01,1336.898681640625,1383.192384875484
2024,Marzo,2024-03-01,1480.2642822265625,1285.1479938573543
2024,Abril,2024-04-01,1771.5041809082031,1393.132421437817
2024,Mayo,2024-05-01,2360.2430419921875,1670.5664430772129
2024,Junio,2024-06-01,2380.166015625,2197.2917926532245
2024,Julio,2024-07-01,2650.7274780273438,2155.1336927337243
2024,Agosto,2024-08-01,1942.1493530273438,2376.435738392955
2024,Septiembre,2024-09-01,1520.66162109375,1767.2369577578115
2024,Octubre,2024-10-01,1239.6697998046875,1368.311605963847
2024,Noviembre,2024-11-01,1221.1394348144531,1129.2952292165123
2024,Diciembre,2024-12-01,1195.6503601074219,1126.4623136952312
2025,Enero,2025-01-01,1316.339697265625,1186.6514105343654
2025,Febrero,2025-02-01,1174.059829711914,1327.0837245015564
2025,Marzo,2025-03-01,1447.0641845703126,1215.0509944126875
2025,Abril,2025-04-01,1735.5377197265625,1439.1502332010211
2025,Mayo,2025-05-01,1260.3309631347656,1652.636552290074
2025,Junio,2025-06-01,842.9754638671875,1229.7090182145253
2025,Julio,2025-07-01,781.9131469726562,847.2673611170376
2025,Agosto,2025-08-01,623.0187744140625,814.0735681141356
2025,Septiembre,2025-09-01,578.5125732421875,696.2921929387287
2025,Octubre,2025-10-01,565.2350540161133,603.3698407373674
2025,Noviembre,2025-11-01,787.1421875,612.7858428050324
2025,Diciembre,2025-12-01,893.2109985351562,752.8107128392928
