Año,mes,fecha,precio_promedio,precio_predicho_m1,precio_predicho_m2,precio_predicho_m3,precio_predicho_m4,precio_predicho_m5
2019,Febrero,2019-02-01,798.4447784423828,1084.279124359233,1069.172384863207,869.1555798036136,597.5212089309653,699.1289684194373
2019,Marzo,2019-03-01,871.4064737955729,1131.1950167249215,1067.2526317059612,863.2792100167464,565.4434694541333,717.5689252899638
2019,Abril,2019-04-01,1136.4999389648438,1077.538344400375,1095.7105568208967,954.3858956913916,1175.627740083928,1047.3963894714411
2019,Mayo,2019-05-01,1056.201806640625,1177.0641186663197,1062.56404756995,1114.885994595832,874.9104102135748,994.0292624663739
2019,Junio,2019-06-01,1109.6309051513672,1148.6038556911274,1094.240716161368,1066.2506564983855,902.3261120344714,976.4803661370261
2019,Julio,2019-07-01,995.9086303710938,1198.430098108249,1104.377374593794,1086.2579544620867,1172.8530564127627,1170.141888234698
2019,Agosto,2019-08-01,843.3704962226562,1251.1957482289902,1077.536768113539,952.0482193142589,1005.0828043895926,1025.0121525158206
2019,Septiembre,2019-09-01,809.0946502685547,1182.869486158038,1109.77612124282,861.5438932666059,709.468773310537,775.6212493908378
2019,Octubre,2019-10-01,855.9904632568359,1198.8304137354803,1110.2737255989553,820.4878637895429,746.9690063920152,784.8238807756693
2019,Noviembre,2019-11-01,813.222216796875,1210.1546329590678,1096.0500704131784,845.0631721723397,775.2111567523848,820.1743410879769
2019,Diciembre,2019-12-01,619.2781219482422,1145.9735628872459,1112.4426232073433,839.7571164216392,825.6466222734816,796.2747215691563
2020,Enero,2020-01-01,630.8554840087891,1153.0113506998782,1095.6961258704107,721.3932278052054,789.856057070072,676.6505167909119
2020,Febrero,2020-02-01,604.4753295898438,1127.043368038799,1122.3998254036123,747.2582168815335,851.3424952369969,723.5738397496038
2020,Marzo,2020-03-01,787.8590698242188,1139.4119561280118,1143.5589513230702,721.3420176728234,777.8264713112144,698.5700504504289
2020,Abril,2020-04-01,758.4833679199219,1094.6372623334912,1184.8231302692252,905.4109243296514,685.8950565732453,752.4661291301181
2020,Mayo,2020-05-01,989.17255859375,1059.433797632225,1187.3338713940273,893.1836721004277,841.9936738271358,788.2731815388108
2020,Junio,2020-06-01,1081.9687957763672,1091.2563800493263,1152.3174097437798,1055.9313889567427,787.657452919791,893.4549099179706
2020,Julio,2020-07-01,896.6017150878906,1146.8710424353337,1095.832630999368,1084.3934328364026,601.2585481627966,846.1222196751221
2020,Agosto,2020-08-01,725.537939453125,1100.3385154167167,1109.9358756462334,950.048082255352,628.0243645618648,739.7758186575124
2020,Septiembre,2020-09-01,646.5885467529297,1140.7775449096798,1080.958259477744,772.6756326131022,612.3312250875056,637.6565293745487
2020,Octubre,2020-10-01,534.29990234375,1126.4695298178838,1075.461189170939,706.2765542594268,576.2663656184664,560.7480502778246
2020,Noviembre,2020-11-01,483.9154586791992,1129.9625970871248,1085.0265342447121,608.4219000911612,417.92737358539443,429.3778779534606
2020,Diciembre,2020-12-01,479.8976287841797,1110.7216737405452,1108.0880208350268,577.7870655579861,491.20146413316434,496.05313319896686
2021,Enero,2021-01-01,616.3035888671875,1044.9506442095735,1152.1388474118519,673.4846976192814,863.2748507415349,649.7822424748397
2021,Febrero,2021-02-01,814.5052032470703,1108.4699045587895,1113.560190344186,740.8283780608406,845.4317069124477,771.2448051589794
2021,Marzo,2021-03-01,1198.7131652832031,1158.915182953936,1068.5226723206704,864.1862520621346,965.4785273058174,915.2124155943109
2021,Abril,2021-04-01,1197.8577270507812,1122.449435618665,1086.1874505883031,1205.5614814511819,1066.7947848162862,1147.4557796744098
2021,Mayo,2021-05-01,1295.604024251302,1142.9171288109665,1189.1752872069308,1224.2797094250377,1054.338874260231,1272.7827092783637
2021,Junio,2021-06-01,831.8810424804688,1183.4409036499724,1150.6389194245646,1269.9121557771318,638.3901462158724,1042.536691153293
2021,Julio,2021-07-01,842.6524780273437,1186.540918900364,1175.3713276814328,881.5199560584134,1538.4775290970097,1190.9479958169168
